91' - 18/10 | 01:20:02 | -8.61949 | -36.61316|
92' - 18/10 | 01:21:03 | -8.61944 | -36.61292|
93' - 18/10 | 01:22:04 | -8.61945 | -36.61313|
94' - 18/10 | 01:23:11 | -8.61967 | -36.61308|
95' - 18/10 | 01:24:12 | -8.61951 | -36.61307|
96' - 18/10 | 01:25:14 | -8.61963 | -36.61310|
97' - 18/10 | 01:26:15 | -8.61938 | -36.61291|
98' - 18/10 | 01:27:17 | -8.61974 | -36.61311|
99' - 18/10 | 01:28:18 | -8.61964 | -36.61321|
100' - 18/10 | 01:29:26 | -8.61964 | -36.61313|
101' - 18/10 | 01:31:10 | -8.61949 | -36.61292|
102' - 18/10 | 01:32:11 | -8.61958 | -36.61314|
103' - 18/10 | 01:33:25 | -8.61961 | -36.61317|
104' - 18/10 | 01:35:18 | -8.61941 | -36.61303|
105' - 18/10 | 01:36:19 | -8.61951 | -36.61309|
106' - 18/10 | 01:37:20 | -8.61986 | -36.61334|
107' - 18/10 | 01:38:21 | -8.61946 | -36.61293|
108' - 18/10 | 01:39:22 | -8.61952 | -36.61301|
109' - 18/10 | 01:40:23 | -8.61950 | -36.61308|
110' - 18/10 | 01:41:24 | -8.61960 | -36.61306|
111' - 18/10 | 01:42:25 | -8.61956 | -36.61310|
112' - 18/10 | 01:43:26 | -8.61962 | -36.61317|
113' - 18/10 | 01:47:51 | -8.61849 | -36.61142|
114' - 18/10 | 01:48:52 | -8.61960 | -36.61312|
115' - 18/10 | 01:50:47 | -8.61950 | -36.61310|
116' - 18/10 | 01:51:48 | -8.61957 | -36.61319|
117' - 18/10 | 01:52:50 | -8.61959 | -36.61322|
118' - 18/10 | 01:53:51 | -8.61959 | -36.61322|
119' - 18/10 | 01:54:52 | -8.61959 | -36.61318|
120' - 18/10 | 01:55:53 | -8.61962 | -36.61319|
121' - 18/10 | 01:56:54 | -8.61964 | -36.61327|
122' - 18/10 | 01:57:57 | -8.61950 | -36.61338|
123' - 18/10 | 01:58:58 | -8.61954 | -36.61312|
124' - 18/10 | 01:59:59 | -8.61959 | -36.61320|
125' - 18/10 | 02:1:00 | -8.61950 | -36.61318|
126' - 18/10 | 02:2:01 | -8.61958 | -36.61323|
127' - 18/10 | 02:3:02 | -8.61958 | -36.61329|
128' - 18/10 | 02:4:06 | -8.61948 | -36.61325|
129' - 18/10 | 02:5:10 | -8.61949 | -36.61314|
130' - 18/10 | 02:6:11 | -8.61944 | -36.61326|
131' - 18/10 | 02:7:12 | -8.61947 | -36.61327|
132' - 18/10 | 02:8:36 | -8.61930 | -36.61323|
133' - 18/10 | 02:9:37 | -8.61947 | -36.61307|
134' - 18/10 | 02:11:10 | -8.61956 | -36.61309|
135' - 18/10 | 02:12:21 | -8.61986 | -36.61252|
136' - 18/10 | 02:13:22 | -8.61964 | -36.61322|
137' - 18/10 | 02:14:23 | -8.61963 | -36.61314|
138' - 18/10 | 02:15:27 | -8.61963 | -36.61314|
139' - 18/10 | 02:16:28 | -8.61952 | -36.61322|
140' - 18/10 | 02:17:29 | -8.61933 | -36.61312|
141' - 18/10 | 02:18:30 | -8.61940 | -36.61315|
142' - 18/10 | 02:19:31 | -8.61953 | -36.61322|
143' - 18/10 | 02:20:33 | -8.61952 | -36.61320|
144' - 18/10 | 02:21:34 | -8.61946 | -36.61319|
145' - 18/10 | 02:22:35 | -8.61946 | -36.61322|
146' - 18/10 | 02:23:36 | -8.61949 | -36.61325|
147' - 18/10 | 02:24:56 | -8.61964 | -36.61349|
148' - 18/10 | 02:26:02 | -8.61947 | -36.61335|
149' - 18/10 | 02:27:03 | -8.61942 | -36.61325|
150' - 18/10 | 02:28:04 | -8.61951 | -36.61322|
151' - 18/10 | 02:29:05 | -8.61944 | -36.61334|
152' - 18/10 | 02:30:31 | -8.61930 | -36.61300|
153' - 18/10 | 02:31:32 | -8.61941 | -36.61310|
154' - 18/10 | 02:32:33 | -8.61947 | -36.61309|
155' - 18/10 | 02:33:34 | -8.61950 | -36.61319|
156' - 18/10 | 02:34:35 | -8.61951 | -36.61334|
157' - 18/10 | 02:35:36 | -8.61933 | -36.61326|
158' - 18/10 | 02:36:37 | -8.61936 | -36.61322|
159' - 18/10 | 02:37:38 | -8.61941 | -36.61318|
160' - 18/10 | 02:38:39 | -8.61937 | -36.61332|
161' - 18/10 | 02:39:40 | -8.61943 | -36.61331|
162' - 18/10 | 02:40:41 | -8.61951 | -36.61330|
163' - 18/10 | 02:41:42 | -8.61943 | -36.61326|
164' - 18/10 | 02:42:43 | -8.61941 | -36.61325|
165' - 18/10 | 02:43:44 | -8.61940 | -36.61320|
166' - 18/10 | 02:44:45 | -8.61938 | -36.61325|
167' - 18/10 | 02:45:46 | -8.61939 | -36.61329|
168' - 18/10 | 02:46:49 | -8.61945 | -36.61316|
169' - 18/10 | 02:47:52 | -8.61935 | -36.61320|
170' - 18/10 | 02:48:53 | -8.61937 | -36.61317|
171' - 18/10 | 02:49:54 | -8.61941 | -36.61309|
172' - 18/10 | 02:50:55 | -8.61934 | -36.61313|
173' - 18/10 | 02:51:56 | -8.61932 | -36.61313|
174' - 18/10 | 02:52:57 | -8.61943 | -36.61306|
175' - 18/10 | 02:53:58 | -8.61943 | -36.61315|
176' - 18/10 | 02:54:59 | -8.61939 | -36.61303|
177' - 18/10 | 02:56:00 | -8.61943 | -36.61301|
178' - 18/10 | 02:57:01 | -8.61944 | -36.61304|
179' - 18/10 | 02:58:03 | -8.61942 | -36.61310|
180' - 18/10 | 02:59:04 | -8.61948 | -36.61304|
181' - 18/10 | 03:0:05 | -8.61949 | -36.61297|
182' - 18/10 | 03:1:06 | -8.61951 | -36.61312|
183' - 18/10 | 03:2:07 | -8.61950 | -36.61312|
184' - 18/10 | 03:3:08 | -8.61952 | -36.61298|
185' - 18/10 | 03:4:09 | -8.61952 | -36.61264|
186' - 18/10 | 03:5:10 | -8.61969 | -36.61292|
187' - 18/10 | 03:6:12 | -8.61881 | -36.61295|
188' - 18/10 | 03:7:13 | -8.61968 | -36.61278|
189' - 18/10 | 03:8:14 | -8.61957 | -36.61298|
190' - 18/10 | 03:9:15 | -8.61952 | -36.61300|
191' - 18/10 | 03:10:16 | -8.61950 | -36.61301|
192' - 18/10 | 03:11:17 | -8.61950 | -36.61300|
193' - 18/10 | 03:12:28 | -8.61946 | -36.61301|
194' - 18/10 | 03:13:29 | -8.61940 | -36.61314|
195' - 18/10 | 03:14:30 | -8.61947 | -36.61305|
196' - 18/10 | 03:15:31 | -8.61943 | -36.61302|
197' - 18/10 | 03:16:46 | -8.61933 | -36.61304|
198' - 18/10 | 03:17:50 | -8.61942 | -36.61309|
199' - 18/10 | 03:18:51 | -8.61929 | -36.61343|
200' - 18/10 | 03:19:52 | -8.61955 | -36.61308|
201' - 18/10 | 03:21:34 | -8.61952 | -36.61327|
202' - 18/10 | 03:22:35 | -8.61952 | -36.61314|
203' - 18/10 | 03:23:36 | -8.61943 | -36.61295|
204' - 18/10 | 03:24:37 | -8.61939 | -36.61316|
205' - 18/10 | 03:25:38 | -8.61945 | -36.61312|
206' - 18/10 | 03:26:39 | -8.61944 | -36.61314|
207' - 18/10 | 03:27:47 | -8.61944 | -36.61311|
208' - 18/10 | 03:28:49 | -8.62073 | -36.61306|
209' - 18/10 | 03:29:50 | -8.61954 | -36.61325|
210' - 18/10 | 03:30:51 | -8.61950 | -36.61330|
211' - 18/10 | 03:31:52 | -8.61945 | -36.61324|
212' - 18/10 | 03:32:54 | -8.61957 | -36.61333|
213' - 18/10 | 03:33:56 | -8.61964 | -36.61314|
214' - 18/10 | 03:34:57 | -8.61966 | -36.61323|
215' - 18/10 | 03:36:08 | -8.61949 | -36.61311|
216' - 18/10 | 03:37:15 | -8.61963 | -36.61323|
217' - 18/10 | 03:38:45 | -8.61984 | -36.61298|
218' - 18/10 | 03:41:12 | -8.61979 | -36.61324|
219' - 18/10 | 03:42:17 | -8.61960 | -36.61321|
220' - 18/10 | 03:43:18 | -8.61963 | -36.61325|
221' - 18/10 | 03:44:19 | -8.61965 | -36.61335|
222' - 18/10 | 03:45:20 | -8.61963 | -36.61334|
223' - 18/10 | 03:46:21 | -8.61968 | -36.61330|
224' - 18/10 | 03:47:22 | -8.61961 | -36.61344|
225' - 18/10 | 03:48:23 | -8.61967 | -36.61332|
226' - 18/10 | 03:49:24 | -8.61966 | -36.61338|
